ParishCodeB;ParishCodeA;location_id
120303;120303;1699
120305;120305;1700
120306;120306;1701
120309;120309;1702
120310;120310;1703
120401;120401;1704
120402;120402;1705
120403;120403;1706
120501;120501;1707
120502;120502;1708
120503;120503;1709
120504;120504;1710
120601;120601;1711
120604;120604;1712
120605;120605;1713
120607;120607;1714
120712;120712;1715
120713;120713;1716
120706;120706;1717
120707;120707;1718
120708;120708;1719
120714;120714;1720
120715;120715;1721
120801;120801;1722
120802;120802;1723
120803;120803;1724
120902;120902;1725
120903;120903;1726
120905;120905;1727
120906;120906;1728
121001;121001;1729
121002;121002;1730
121003;121003;1731
121004;121004;1732
121101;121101;1733
121102;121102;1734
121103;121103;1735
121104;121104;1736
121201;121201;1737
121205;121205;1738
121207;121207;1739
121208;121208;1740
121210;121210;1741
121211;121211;1742
121212;121212;1743
121304;121304;1744
121301;121301;1745
121305;121305;1746
121302;121302;1747
121308;121308;1748
121401;121401;1749
121402;121402;1750
121404;121404;1751
121412;121412;1752
121413;121413;1753
121411;121411;1754
121410;121410;1755
121501;121501;1756
121502;121502;1757
121503;121503;1758
121504;121504;1759
130103;130103;1760
130107;130107;1761
130112;130112;1762
130115;130115;1763
130117;130117;1764
130134;130134;1765
130118;130118;1766
130119;130119;1767
130120;130120;1768
130121;130121;1769
130123;130123;1770
130126;130126;1771
130128;130128;1772
130129;130129;1773
130135;130135;1774
130136;130136;1775
130141;130141;1776
130142;130142;1777
130143;130143;1778
130144;130144;1779
130145;130145;1780
130146;130146;1781
130148;130148;1782
130138;130138;1783
130139;130139;1784
130147;130147;1785
130204;130204;1786
130205;130205;1787
130206;130206;1788
130207;130207;1789
130208;130208;1790
130215;130215;1791
130221;130221;1792
130222;130222;1793
130223;130223;1794
130224;130224;1795
130225;130225;1796
130226;130226;1797
130219;130219;1798
130220;130220;1799
130301;130301;1800
130302;130302;1801
130305;130305;1802
130306;130306;1803
130307;130307;1804
130313;130313;1805
130314;130314;1806
130315;130315;1807
130317;130317;1808
130318;130318;1809
130319;130319;1810
130324;130324;1811
130334;130334;1812
130335;130335;1813
130336;130336;1814
130337;130337;1815
130338;130338;1816
130339;130339;1817
130340;130340;1818
130341;130341;1819
130412;130412;1820
130405;130405;1821
130408;130408;1822
130413;130413;1823
130414;130414;1824
130415;130415;1825
130416;130416;1826
130502;130502;1827
130504;130504;1828
130510;130510;1829
130512;130512;1830
130513;130513;1831
130515;130515;1832
130524;130524;1833
130525;130525;1834
130527;130527;1835
130528;130528;1836
130529;130529;1837
130530;130530;1838
130531;130531;1839
130532;130532;1840
130526;130526;1841
130601;130601;1842
130618;130618;1843
130619;130619;1844
130603;130603;1845
130608;130608;1846
130609;130609;1847
130620;130620;1848
130617;130617;1849
130613;130613;1850
130616;130616;1851
130732;130732;1852
130733;130733;1853
130704;130704;1854
130734;130734;1855
130705;130705;1856
130736;130736;1857
130737;130737;1858
130738;130738;1859
130739;130739;1860
130735;130735;1861
130722;130722;1862
130723;130723;1863
130724;130724;1864
130740;130740;1865
130741;130741;1866
130730;130730;1867
130811;130811;1868
130812;130812;1869
130813;130813;1870
130814;130814;1871
131001;131001;1872
131002;131002;1873
131003;131003;1874
131004;131004;1875
131008;131008;1876
131009;131009;1877
131010;131010;1878
