Municipality;Percentage of smart meters;Consumption per contract
Penedono;88.97032;56222.831
Penela;99.29132;240230.012
Peniche;90.81966;1121538.16343
Peso da Régua;96.19877;252139.40364
Pinhel;86.9752;67093.84739
Pombal;91.03971;798010.29512
Ponte da Barca;82.35487;94627.93555
Ponte de Lima;99.37193;172995.46688
Ponte de Sor;91.20262;490621.52033
Portalegre;98.62015;689876.14914
Portel;92.39795;974533.85392
Portimão;96.48543;3619647.94233
Porto;99.54047;6379827.39127
Porto de Mós;99.54786;581410.35147
Proença-a-Nova;90.44998;313767.1238
Póvoa de Lanhoso;94.04832;149928.23283
Póvoa de Varzim;97.02574;1220549.68754
Redondo;98.50204;484163.27325
Reguengos de Monsaraz;97.30112;421783.68514
Resende;74.60526;119572.08925
Ribeira de Pena;98.85784;357171.87629
Rio Maior;89.81054;743416.99739
Sabrosa;93.77464;74063.05969
Sabugal;82.41849;63563.28712
Salvaterra de Magos;99.56349;742885.21888
Santa Comba Dão;97.38647;215100.7015
Santa Maria da Feira;91.91819;1107745.33474
Santa Marta de Penaguião;94.33289;85900.33067
Santarém;90.00486;734071.59383
Santiago do Cacém;95.68335;612411.893
Santo Tirso;91.9047;1493379.80135
Sardoal;94.15541;134365.311
Seia;89.22731;168289.63244
Seixal;91.59169;12208301.41988
Sernancelhe;79.06223;70765.57982
Serpa;99.13744;1119772.896
Sertã;88.75793;268968.41567
Sesimbra;99.66449;1931456.37033
Setúbal;99.71366;7175375.58255
Sever do Vouga;96.72674;214415.88758
Silves;90.25472;1411451.72255
Sines;98.65869;17896541.14625
Sintra;93.80575;3405288.34059
Sobral de Monte Agraço;97.92985;352083.39617
Soure;96.7128;352991.91069
Sousel;99.30596;222919.61563
Sátão;89.64663;154117.29269
São Brás de Alportel;91.74026;1352009.5885
São João da Madeira;99.82517;4293241.8475
São João da Pesqueira;86.25089;85129.49627
São Pedro do Sul;96.85938;190505.20194
Tabuaço;99.28274;53994.39082
Tarouca;99.35573;139923.44736
Tavira;88.53359;887174.10891
Terras de Bouro;99.4177;89502.4886
Tomar;86.40546;558264.42794
Tondela;75.77396;260753.67756
Torre de Moncorvo;98.77737;110507.98393
Torres Novas;90.35655;1098443.34337
Torres Vedras;91.52629;983732.49028
Trancoso;94.55189;74532.18178
Trofa;99.60232;1466844.5112
Tábua;66.89152;169013.61421
Vagos;97.33724;575489.88846
Vale de Cambra;95.3195;774232.239
Valença;70.61976;247548.54872
Valongo;98.89603;2454740.26613
Valpaços;98.25131;79331.32303
Vendas Novas;98.46109;912322.41975
Viana do Alentejo;99.29654;291015.676
Viana do Castelo;95.5901;1135971.42444
